price,quantity_sold,buyer_race,mon,tues,wed,thurs,wind_speed,wave_height,day
0.6222221851348877,1875,asian,1,0,0,0,15,7.5,1
0.7666667103767395,2205,white,1,0,0,0,15,7.5,1
0.9722222089767456,2900,asian,0,0,1,0,10,5,2
1.1749999523162842,566,white,0,0,1,0,10,5,2
1.2333329916000366,770,asian,0,0,0,1,10,6,3
1.475000023841858,1525,white,0,0,0,1,10,6,3
1.9285709857940674,927,asian,0,0,0,0,15,6,4
1.625,943,white,0,0,0,0,15,6,4
0.8031250238418579,4220,asian,1,0,0,0,10,3.5,5
0.8642857074737549,2665,white,1,0,0,0,10,3.5,5
0.8818181753158569,4230,asian,0,1,0,0,15,4.5,6
0.9142857193946838,1375,white,0,1,0,0,15,4.5,6
0.768750011920929,3079,asian,0,0,1,0,10,4.5,7
0.8299999833106995,1880,white,0,0,1,0,10,4.5,7
0.8299999833106995,945,asian,0,0,0,1,10,4,8
1,1240,white,0,0,0,1,10,4,8
0.6892856955528259,7925,asian,0,0,0,0,10,4,9
0.7615383863449097,1395,white,0,0,0,0,10,4,9
1.4740740060806274,4895,asian,1,0,0,0,20,12.5,10
1.5388890504837036,1898,white,1,0,0,0,20,12.5,10
1.6166670322418213,1275,asian,0,1,0,0,15,9,11
1.5,650,white,0,1,0,0,15,9,11
1.4500000476837158,1834,asian,0,0,1,0,15,7.5,12
1.5111110210418701,636,white,0,0,1,0,15,7.5,12
1.2791670560836792,4295,asian,0,0,0,1,10,4.5,13
1.353124976158142,4522,white,0,0,0,1,10,4.5,13
1.2166670560836792,3120,asian,0,0,0,0,10,4.5,14
1.2687499523162842,1545,white,0,0,0,0,10,4.5,14
0.8899999856948853,4165,asian,1,0,0,0,10,6,15
0.9863635897636414,3075,white,1,0,0,0,10,6,15
0.8299999833106995,3250,asian,0,1,0,0,10,4,16
0.9300000071525574,540,white,0,1,0,0,10,4,16
1.2785710096359253,1730,asian,0,0,1,0,15,8,17
1.25,300,white,0,0,1,0,15,8,17
1.0833330154418945,1245,asian,0,0,0,1,15,8,18
1.2333329916000366,1640,white,0,0,0,1,15,8,18
1.0625,540,asian,0,0,0,0,15,7.5,19
1.1666669845581055,660,white,0,0,0,0,15,7.5,19
1,110,asian,1,0,0,0,20,5.5,20
1.25,60,white,1,0,0,0,20,5.5,20
1.25,450,asian,0,1,0,0,15,5.5,21
1.25,650,white,0,1,0,0,15,5.5,21
0.925000011920929,1670,asian,0,0,1,0,10,3,22
0.9750000238418579,810,white,0,0,1,0,10,3,22
0.595833420753479,5010,asian,0,0,0,1,10,3.5,23
0.7428572177886963,1105,white,0,0,0,1,10,3.5,23
0.5,3785,asian,0,0,0,0,10,5,24
0.4300000071525574,3000,white,0,0,0,0,10,5,24
0.42500001192092896,1940,asian,1,0,0,0,15,5.5,25
0.6000000238418579,840,white,1,0,0,0,15,5.5,25
0.5,1680,asian,0,1,0,0,15,4,26
0.25,100,white,0,1,0,0,15,4,26
0.5583332777023315,1145,asian,0,0,1,0,15,3,27
0.6000000238418579,965,white,0,0,1,0,15,3,27
0.514285683631897,2120,asian,0,0,0,1,10,2.5,28
0.5590909123420715,2585,white,0,0,0,1,10,2.5,28
0.5833333730697632,1690,asian,0,0,0,0,10,2.5,29
0.5888888835906982,960,white,0,0,0,0,10,2.5,29
0.6590908765792847,4805,asian,1,0,0,0,25,8,30
0.625,2040,white,1,0,0,0,25,8,30
0.366666704416275,1010,asian,0,1,0,0,15,8,31
0.6000000238418579,60,white,0,1,0,0,15,8,31
0.512499988079071,585,asian,0,0,1,0,12,6.5,32
1.25,200,white,0,0,1,0,12,6.5,32
1.4874999523162842,2300,asian,0,0,0,1,12,6.5,33
1.4500000476837158,1145,white,0,0,0,1,12,6.5,33
1.432142972946167,1885,asian,0,0,0,0,10,6.5,34
1.4199999570846558,4020,white,0,0,0,0,10,6.5,34
1.386667013168335,2090,asian,1,0,0,0,15,6.5,35
1.3899999856948853,1370,white,1,0,0,0,15,6.5,35
1.5499999523162842,330,asian,0,1,0,0,10,6.5,36
1.6333329677581787,760,white,0,1,0,0,10,6.5,36
1.196153998374939,3040,asian,0,0,1,0,10,4.5,37
1.350000023841858,1420,white,0,0,1,0,10,4.5,37
0.949999988079071,4190,asian,0,0,0,1,15,4.5,38
1.0416669845581055,1870,white,0,0,0,1,15,4.5,38
0.515625,7420,asian,0,0,0,0,10,5,39
0.7333332896232605,2235,white,0,0,0,0,10,5,39
0.40833330154418945,6435,asian,0,1,0,0,10,4.5,40
0.5199999809265137,1445,white,0,1,0,0,10,4.5,40
0.2666667103767395,1430,asian,0,0,1,0,10,5,41
0.3499999940395355,565,white,0,0,1,0,10,5,41
0.3571428954601288,1580,asian,0,0,0,1,12,5,42
0.4749999940395355,1500,white,0,0,0,1,12,5,42
0.4214285910129547,4195,asian,0,0,0,0,12,4,43
0.543749988079071,1330,white,0,0,0,0,12,4,43
0.46666669845581055,1020,asian,1,0,0,0,5,4,44
0.574999988079071,1200,white,1,0,0,0,5,4,44
0.43333330750465393,1220,asian,0,1,0,0,10,5.5,45
0.5,300,white,0,1,0,0,10,5.5,45
0.7928572297096252,1570,asian,0,0,1,0,15,6,46
0.8333333134651184,305,white,0,0,1,0,15,6,46
1.1833330392837524,550,asian,0,0,0,1,15,8,47
1.2277779579162598,875,white,0,0,0,1,15,8,47
1.3312499523162842,1140,asian,0,0,0,0,15,8,48
1.2166670560836792,1340,white,0,0,0,0,15,8,48
1.1333329677581787,1040,asian,1,0,0,0,15,6,49
1.1124999523162842,1935,white,1,0,0,0,15,6,49
1.0416669845581055,410,asian,0,1,0,0,10,4.5,50
1.0642859935760498,1300,white,0,1,0,0,10,4.5,50
0.7730770111083984,4320,asian,0,0,1,0,10,4.5,51
0.7681818008422852,2820,white,0,0,1,0,10,4.5,51
0.783333420753479,3440,asian,0,0,0,1,5,4,52
0.7818182110786438,3420,white,0,0,0,1,5,4,52
