resp_id,ques,alt,choice_id,segment,seat,trans,convert,price,choice,seat4,seat5,auto
1,1,1,101,basic,2,manual,1,35,0,0,0,0
1,1,2,101,basic,5,auto,0,40,0,0,1,1
1,1,3,101,basic,5,auto,0,30,1,0,1,1
1,2,1,102,basic,5,manual,0,35,0,0,1,0
1,2,2,102,basic,2,manual,0,30,1,0,0,0
1,2,3,102,basic,4,auto,0,35,0,1,0,1
1,3,1,103,basic,5,auto,1,35,1,0,1,1
1,3,2,103,basic,4,auto,1,30,0,1,0,1
1,3,3,103,basic,4,manual,0,40,0,1,0,0
1,4,1,104,basic,2,manual,1,30,0,0,0,0
1,4,2,104,basic,4,manual,1,40,0,1,0,0
1,4,3,104,basic,4,auto,1,35,1,1,0,1
1,5,1,105,basic,5,manual,1,40,0,0,1,0
1,5,2,105,basic,5,manual,0,30,1,0,1,0
1,5,3,105,basic,2,auto,1,40,0,0,0,1
1,6,1,106,basic,2,auto,1,35,0,0,0,1
1,6,2,106,basic,4,manual,1,35,0,1,0,0
1,6,3,106,basic,2,auto,0,30,1,0,0,1
1,7,1,107,basic,4,manual,0,30,1,1,0,0
1,7,2,107,basic,2,manual,0,35,0,0,0,0
1,7,3,107,basic,5,manual,1,35,0,0,1,0
1,8,1,108,basic,5,auto,0,35,1,0,1,1
1,8,2,108,basic,2,auto,1,30,0,0,0,1
1,8,3,108,basic,2,auto,0,35,0,0,0,1
1,9,1,109,basic,4,manual,1,30,1,1,0,0
1,9,2,109,basic,4,auto,1,40,0,1,0,1
1,9,3,109,basic,2,manual,0,40,0,0,0,0
1,10,1,110,basic,5,auto,1,40,1,0,1,1
1,10,2,110,basic,4,auto,0,30,0,1,0,1
1,10,3,110,basic,2,manual,1,40,0,0,0,0
2,1,1,201,basic,5,manual,0,35,0,0,1,0
2,1,2,201,basic,5,manual,1,35,0,0,1,0
2,1,3,201,basic,4,auto,1,40,1,1,0,1
2,2,1,202,basic,4,manual,0,30,0,1,0,0
2,2,2,202,basic,2,auto,1,35,0,0,0,1
2,2,3,202,basic,4,auto,0,35,1,1,0,1
2,3,1,203,basic,2,auto,0,40,0,0,0,1
2,3,2,203,basic,4,manual,1,35,0,1,0,0
2,3,3,203,basic,5,auto,1,35,1,0,1,1
2,4,1,204,basic,2,auto,0,35,1,0,0,1
2,4,2,204,basic,4,manual,0,40,0,1,0,0
2,4,3,204,basic,5,auto,0,35,0,0,1,1
2,5,1,205,basic,5,manual,0,30,1,0,1,0
2,5,2,205,basic,4,manual,1,40,0,1,0,0
2,5,3,205,basic,4,auto,0,40,0,1,0,1
2,6,1,206,basic,2,manual,1,40,0,0,0,0
2,6,2,206,basic,4,auto,0,30,0,1,0,1
2,6,3,206,basic,4,manual,1,30,1,1,0,0
2,7,1,207,basic,5,auto,0,30,0,0,1,1
2,7,2,207,basic,2,auto,0,30,1,0,0,1
2,7,3,207,basic,5,manual,1,30,0,0,1,0
2,8,1,208,basic,2,manual,1,35,0,0,0,0
2,8,2,208,basic,2,manual,1,30,0,0,0,0
2,8,3,208,basic,2,auto,1,30,1,0,0,1
2,9,1,209,basic,4,auto,1,30,0,1,0,1
2,9,2,209,basic,2,manual,0,30,0,0,0,0
2,9,3,209,basic,4,manual,0,35,1,1,0,0
2,10,1,210,basic,5,auto,1,40,1,0,1,1
2,10,2,210,basic,5,auto,0,40,0,0,1,1
2,10,3,210,basic,2,manual,0,35,0,0,0,0
3,1,1,301,basic,4,auto,1,35,1,1,0,1
3,1,2,301,basic,4,auto,0,35,0,1,0,1
3,1,3,301,basic,5,auto,1,40,0,0,1,1
3,2,1,302,basic,4,manual,0,35,0,1,0,0
3,2,2,302,basic,4,auto,1,40,1,1,0,1
3,2,3,302,basic,2,manual,1,40,0,0,0,0
3,3,1,303,basic,4,manual,1,30,0,1,0,0
3,3,2,303,basic,5,manual,0,30,0,0,1,0
3,3,3,303,basic,2,auto,0,35,1,0,0,1
3,4,1,304,basic,2,auto,1,30,1,0,0,1
3,4,2,304,basic,2,manual,1,35,0,0,0,0
3,4,3,304,basic,2,manual,1,30,0,0,0,0
3,5,1,305,basic,4,manual,0,40,0,1,0,0
3,5,2,305,basic,5,auto,0,35,1,0,1,1
3,5,3,305,basic,5,auto,0,40,0,0,1,1
3,6,1,306,basic,2,manual,0,40,0,0,0,0
3,6,2,306,basic,5,auto,0,30,0,0,1,1
3,6,3,306,basic,2,auto,0,30,1,0,0,1
3,7,1,307,basic,4,manual,0,30,0,1,0,0
3,7,2,307,basic,4,auto,0,40,0,1,0,1
3,7,3,307,basic,4,auto,0,30,1,1,0,1
3,8,1,308,basic,4,manual,1,35,0,1,0,0
3,8,2,308,basic,4,manual,1,40,0,1,0,0
3,8,3,308,basic,5,auto,1,30,1,0,1,1
3,9,1,309,basic,5,manual,1,30,0,0,1,0
3,9,2,309,basic,2,auto,1,35,0,0,0,1
3,9,3,309,basic,5,auto,1,35,1,0,1,1
3,10,1,310,basic,5,manual,0,40,0,0,1,0
3,10,2,310,basic,5,manual,1,35,1,0,1,0
3,10,3,310,basic,2,auto,0,40,0,0,0,1
4,1,1,401,basic,2,auto,0,30,0,0,0,1
4,1,2,401,basic,5,manual,0,30,1,0,1,0
4,1,3,401,basic,4,manual,1,40,0,1,0,0
4,2,1,402,basic,5,manual,1,40,0,0,1,0
4,2,2,402,basic,4,auto,1,40,1,1,0,1
4,2,3,402,basic,2,auto,1,35,0,0,0,1
4,3,1,403,basic,4,manual,1,35,0,1,0,0
4,3,2,403,basic,5,auto,1,35,1,0,1,1
4,3,3,403,basic,5,auto,0,40,0,0,1,1
4,4,1,404,basic,5,manual,1,30,0,0,1,0
4,4,2,404,basic,2,manual,0,35,0,0,0,0
4,4,3,404,basic,4,auto,1,30,1,1,0,1
4,5,1,405,basic,4,manual,1,30,0,1,0,0
4,5,2,405,basic,4,auto,0,30,1,1,0,1
4,5,3,405,basic,2,manual,0,30,0,0,0,0
4,6,1,406,basic,2,auto,1,40,0,0,0,1
4,6,2,406,basic,5,auto,1,40,0,0,1,1
4,6,3,406,basic,4,auto,0,35,1,1,0,1
4,7,1,407,basic,5,manual,1,35,0,0,1,0
4,7,2,407,basic,2,manual,1,30,0,0,0,0
4,7,3,407,basic,2,auto,1,30,1,0,0,1
4,8,1,408,basic,4,manual,0,40,0,1,0,0
4,8,2,408,basic,5,auto,0,30,1,0,1,1
4,8,3,408,basic,4,auto,1,35,0,1,0,1
4,9,1,409,basic,4,manual,0,35,0,1,0,0
4,9,2,409,basic,2,auto,0,35,0,0,0,1
4,9,3,409,basic,4,manual,0,30,1,1,0,0
4,10,1,410,basic,5,manual,0,35,0,0,1,0
4,10,2,410,basic,5,auto,0,35,1,0,1,1
4,10,3,410,basic,5,auto,1,30,0,0,1,1
5,1,1,501,basic,5,auto,1,35,0,0,1,1
5,1,2,501,basic,2,auto,1,30,1,0,0,1
5,1,3,501,basic,4,manual,0,35,0,1,0,0
5,2,1,502,basic,5,auto,0,40,0,0,1,1
5,2,2,502,basic,2,manual,0,30,1,0,0,0
5,2,3,502,basic,2,auto,0,35,0,0,0,1
5,3,1,503,basic,2,manual,0,35,0,0,0,0
5,3,2,503,basic,5,auto,0,35,1,0,1,1
5,3,3,503,basic,5,manual,1,40,0,0,1,0
5,4,1,504,basic,5,manual,0,35,0,0,1,0
5,4,2,504,basic,4,auto,1,35,1,1,0,1
5,4,3,504,basic,5,auto,1,30,0,0,1,1
5,5,1,505,basic,4,auto,0,35,0,1,0,1
5,5,2,505,basic,2,auto,0,30,1,0,0,1
5,5,3,505,basic,2,manual,0,40,0,0,0,0
5,6,1,506,basic,5,manual,1,30,1,0,1,0
5,6,2,506,basic,4,manual,1,40,0,1,0,0
5,6,3,506,basic,2,manual,1,40,0,0,0,0
5,7,1,507,basic,2,manual,1,30,1,0,0,0
5,7,2,507,basic,5,manual,0,40,0,0,1,0
5,7,3,507,basic,4,auto,0,40,0,1,0,1
5,8,1,508,basic,2,manual,1,35,0,0,0,0
5,8,2,508,basic,5,auto,1,40,1,0,1,1
5,8,3,508,basic,4,auto,1,40,0,1,0,1
5,9,1,509,basic,5,manual,1,35,0,0,1,0
5,9,2,509,basic,4,auto,1,30,1,1,0,1
5,9,3,509,basic,2,auto,0,40,0,0,0,1
5,10,1,510,basic,5,auto,0,30,1,0,1,1
5,10,2,510,basic,5,manual,0,30,0,0,1,0
5,10,3,510,basic,2,auto,1,35,0,0,0,1
6,1,1,601,basic,5,manual,1,35,0,0,1,0
6,1,2,601,basic,2,auto,1,30,1,0,0,1
6,1,3,601,basic,2,manual,0,30,0,0,0,0
6,2,1,602,basic,5,manual,0,35,1,0,1,0
6,2,2,602,basic,4,manual,0,35,0,1,0,0
6,2,3,602,basic,2,manual,1,30,0,0,0,0
6,3,1,603,basic,4,auto,0,30,0,1,0,1
6,3,2,603,basic,5,auto,0,30,1,0,1,1
6,3,3,603,basic,5,auto,0,35,0,0,1,1
6,4,1,604,basic,2,manual,1,40,0,0,0,0
6,4,2,604,basic,5,manual,1,30,1,0,1,0
6,4,3,604,basic,2,auto,0,40,0,0,0,1
6,5,1,605,basic,4,manual,1,30,1,1,0,0
6,5,2,605,basic,2,manual,1,35,0,0,0,0
6,5,3,605,basic,4,auto,0,40,0,1,0,1
6,6,1,606,basic,5,auto,0,40,0,0,1,1
6,6,2,606,basic,5,auto,1,35,1,0,1,1
6,6,3,606,basic,4,auto,0,35,0,1,0,1
6,7,1,607,basic,4,manual,0,40,0,1,0,0
6,7,2,607,basic,4,manual,1,40,1,1,0,0
6,7,3,607,basic,4,auto,1,40,0,1,0,1
6,8,1,608,basic,2,manual,0,40,0,0,0,0
6,8,2,608,basic,2,auto,0,30,1,0,0,1
6,8,3,608,basic,2,auto,1,35,0,0,0,1
6,9,1,609,basic,4,auto,1,35,0,1,0,1
6,9,2,609,basic,5,manual,0,30,0,0,1,0
6,9,3,609,basic,5,auto,1,30,1,0,1,1
6,10,1,610,basic,4,auto,1,30,1,1,0,1
6,10,2,610,basic,2,auto,1,40,0,0,0,1
6,10,3,610,basic,5,auto,1,40,0,0,1,1
7,1,1,701,basic,5,manual,1,35,0,0,1,0
7,1,2,701,basic,4,manual,1,30,1,1,0,0
7,1,3,701,basic,4,auto,0,30,0,1,0,1
7,2,1,702,basic,2,auto,1,35,1,0,0,1
7,2,2,702,basic,5,manual,0,35,0,0,1,0
7,2,3,702,basic,4,manual,0,35,0,1,0,0
7,3,1,703,basic,4,auto,0,40,0,1,0,1
7,3,2,703,basic,4,manual,0,40,0,1,0,0
7,3,3,703,basic,5,auto,0,35,1,0,1,1
7,4,1,704,basic,4,manual,1,35,0,1,0,0
7,4,2,704,basic,4,auto,1,35,0,1,0,1
7,4,3,704,basic,4,auto,1,30,1,1,0,1
7,5,1,705,basic,5,auto,0,30,1,0,1,1
7,5,2,705,basic,4,manual,0,30,0,1,0,0
7,5,3,705,basic,2,auto,0,40,0,0,0,1
7,6,1,706,basic,5,manual,1,40,0,0,1,0
7,6,2,706,basic,2,manual,0,40,0,0,0,0
